type,gw,position,fpl_id,opta_id,name,player_position,points,is_top_player
gw,27,7,386,243016,Alexis Mac Allister,MID,13,False
gw,27,8,660,466525,Anton Stach,MID,11,False
gw,27,9,169,514254,Diego Gómez Amarilla,MID,10,False
gw,27,10,666,224117,Viktor Gyökeres,FWD,13,False
gw,27,11,337,102057,Raúl Jiménez Rodríguez,FWD,11,False
gw,28,1,628,149065,José Sá,GK,8,False
gw,28,2,402,448514,Rayan Aït-Nouri,DEF,11,False
gw,28,3,6,462424,William Saliba,DEF,10,False
gw,28,4,634,501837,Yerson Mosquera Valdelamar,DEF,9,False
gw,28,5,121,440089,Mikkel Damsgaard,MID,18,True
gw,28,6,646,448089,João Gomes,MID,14,False
gw,28,7,449,141746,Bruno Fernandes,MID,13,False
gw,28,8,329,153682,Harry Wilson,MID,12,False
gw,28,9,324,153133,Alex Iwobi,MID,10,False
gw,28,10,661,510663,Hugo Ekitiké,FWD,15,False
gw,28,11,311,486385,Beto,FWD,9,False
gw,29,1,812,515046,Melker Ellborg,GK,10,False
gw,29,2,291,17761,James Tarkowski,DEF,15,False
gw,29,3,8,445122,Jurriën Timber,DEF,13,False
gw,29,4,5,226597,Gabriel Magalhães,DEF,11,False
gw,29,5,72,221466,Marcos Senesi Barón,DEF,11,False
gw,29,6,267,232185,Ismaïla Sarr,MID,15,False
gw,29,7,643,509291,André,MID,12,False
gw,29,8,517,215379,Elliot Anderson,MID,12,False
gw,29,9,615,450070,Crysencio Summerville,MID,11,False
gw,29,10,273,496221,Adam Wharton,MID,10,False
gw,29,11,249,475168,João Pedro,FWD,19,True
gw,3,1,366,116535,Alisson Becker,GK,8,False
gw,3,2,260,209036,Marc Guéhi,DEF,15,True
gw,3,3,72,221466,Marcos Senesi Barón,DEF,14,False
gw,3,4,226,180736,Trevoh Chalobah,DEF,13,False
gw,3,5,257,437499,Maxence Lacroix,DEF,11,False
gw,3,6,387,424876,Dominik Szoboszlai,MID,13,False
gw,3,7,242,215413,Kiernan Dewsbury-Hall,MID,12,False
gw,3,8,237,448047,Enzo Fernández,MID,12,False
gw,3,9,547,484420,Enzo Le Fée,MID,11,False
gw,3,10,419,114283,Jack Grealish,MID,10,False
gw,3,11,249,475168,João Pedro,FWD,9,False
gw,30,1,139,489639,Bart Verbruggen,GK,7,False
gw,30,2,606,233963,Konstantinos Mavropanos,DEF,12,True
gw,30,3,146,83299,Lewis Dunk,DEF,11,False
gw,30,4,6,462424,William Saliba,DEF,11,False
gw,30,5,723,651426,Jaydee Canvot,DEF,11,False
gw,30,6,74,494521,Adrien Truffert,DEF,11,False
gw,30,7,55,88894,Ross Barkley,MID,12,False
gw,30,8,485,232826,Anthony Gordon,MID,11,False
gw,30,9,387,424876,Dominik Szoboszlai,MID,11,False
gw,30,10,449,141746,Bruno Fernandes,MID,10,False
gw,30,11,597,212319,Richarlison,FWD,9,False
gw,31,1,101,200720,Caoimhín Kelleher,GK,9,False
gw,31,2,508,215136,Neco Williams,DEF,15,False
gw,31,3,344,434752,Jaka Bijol,DEF,11,False
gw,31,4,111,231065,Ethan Pinnock,DEF,10,False
gw,31,5,335,577725,Josh King,MID,13,False
gw,31,6,449,141746,Bruno Fernandes,MID,13,False
gw,31,7,54,122806,John McGinn,MID,10,False
gw,31,8,299,440993,Iliman Ndiaye,MID,10,False
gw,31,9,485,232826,Anthony Gordon,MID,10,False
gw,31,10,311,486385,Beto,FWD,16,True
gw,31,11,178,50175,Danny Welbeck,FWD,12,False
gw,32,1,670,498016,Robin Roefs,GK,11,False
gw,32,2,606,233963,Konstantinos Mavropanos,DEF,21,True
gw,32,3,260,209036,Marc Guéhi,DEF,15,False
gw,32,4,411,472769,Nico O'Reilly,DEF,14,False
gw,32,5,694,200834,Nordi Mukiele,DEF,14,False
gw,32,6,173,467779,Mats Wieffer,MID,18,False
gw,32,7,698,435997,Noah Okafor,MID,15,False
gw,32,8,90,503139,Alex Scott,MID,12,False
gw,32,9,624,178186,Jarrod Bowen,FWD,14,False
gw,32,10,136,502500,Igor Thiago,FWD,13,False
gw,32,11,283,231747,Jean-Philippe Mateta,FWD,12,False
gw,4,1,670,498016,Robin Roefs,GK,10,False
gw,4,2,575,491279,Micky van de Ven,DEF,14,False
gw,4,3,569,221632,Cristian Romero,DEF,12,False
gw,4,4,694,200834,Nordi Mukiele,DEF,10,False
gw,4,5,317,174874,Joachim Andersen,DEF,10,False
gw,4,6,26,481655,Martín Zubimendi Ibáñez,MID,16,True
gw,4,7,82,437730,Antoine Semenyo,MID,13,False
gw,4,8,241,486672,Moisés Caicedo Corozo,MID,12,False
gw,4,9,414,209244,Phil Foden,MID,12,False
gw,4,10,586,570526,Lucas Bergvall,MID,11,False
gw,4,11,430,223094,Erling Haaland,FWD,13,False
gw,5,1,469,98747,Nick Pope,GK,6,False
gw,5,2,442,95658,Harry Maguire,DEF,11,False
gw,5,3,36,199796,Matty Cash,DEF,10,False
gw,5,4,508,215136,Neco Williams,DEF,10,False
gw,5,5,660,466525,Anton Stach,MID,15,True
gw,5,6,390,441266,Ryan Gravenberch,MID,15,False
gw,5,7,324,153133,Alex Iwobi,MID,13,False
gw,5,8,200,444180,Jaidon Anthony,MID,10,False
gw,5,9,449,141746,Bruno Fernandes,MID,10,False
gw,5,10,691,177815,Dominic Calvert-Lewin,FWD,11,False
gw,5,11,560,437505,Wilson Isidor,FWD,9,False
gw,6,1,670,498016,Robin Roefs,GK,10,False
gw,6,2,683,201895,Omar Alderete,DEF,17,True
gw,6,3,5,226597,Gabriel Magalhães,DEF,13,False
gw,6,4,407,465351,Matheus Nunes,DEF,12,False
gw,6,5,636,231480,Santiago Bueno,DEF,12,False
gw,6,6,493,180135,Sean Longstaff,MID,15,False
gw,6,7,50,195546,Emiliano Buendía Stati,MID,12,False
gw,6,8,267,232185,Ismaïla Sarr,MID,11,False
gw,6,9,430,223094,Erling Haaland,FWD,16,False
gw,6,10,136,502500,Igor Thiago,FWD,13,False
gw,6,11,178,50175,Danny Welbeck,FWD,11,False
gw,7,1,733,465247,Senne Lammens,GK,9,False
gw,7,2,403,477424,Joško Gvardiol,DEF,12,False
gw,7,3,8,445122,Jurriën Timber,DEF,11,False
gw,7,4,476,78916,Dan Burn,DEF,11,False
gw,7,5,151,469142,Jan Paul van Hecke,DEF,11,False
gw,7,6,82,437730,Antoine Semenyo,MID,18,True
gw,7,7,53,204646,Donyell Malen,MID,15,False
gw,7,8,488,208706,Bruno Guimarães,MID,14,False
gw,7,9,582,460842,Mohammed Kudus,MID,12,False
gw,7,10,21,204480,Declan Rice,MID,11,False
gw,7,11,681,485711,Benjamin Sesko,FWD,9,False
gw,8,1,470,67089,Martin Dúbravka,GK,9,False
gw,8,2,225,225796,Reece James,DEF,18,True
gw,8,3,694,200834,Nordi Mukiele,DEF,17,False
gw,8,4,233,577016,Josh Acheampong,DEF,14,False
gw,8,5,187,58621,Kyle Walker,DEF,14,False
